Incident_ID,Date,Attack_Type,Severity,Department,Region,Affected_Systems,Financial_Loss_USD,Status,Reported_By
INC-0001,2025-10-16,SQL Injection,Low,Sales,Europe,9,292.25,Resolved,Neha Verma
INC-0002,2025-08-27,Phishing,Medium,IT,Europe,9,7418.17,Resolved,Sara Fernandez
INC-0003,2025-10-27,Man-in-the-Middle,High,Sales,Latin America,1,74278.99,In Progress,Arjun Mehta
INC-0004,2025-12-15,SQL Injection,Medium,HR,Europe,2,5029.35,Closed - No Action,Tom Becker
INC-0005,2024-04-09,Insider Threat,Medium,Operations,North America,7,6826.05,In Progress,Neha Verma
INC-0006,2025-07-19,Social Engineering,Low,Legal,Middle East,4,262.6,Resolved,Liam O'Connor
INC-0007,2024-03-22,Ransomware,High,R&D,Asia Pacific,11,76055.95,Resolved,Priya Nair
INC-0008,2024-12-29,SQL Injection,Low,IT,Middle East,4,680.73,In Progress,Arjun Mehta
INC-0009,2025-04-18,Credential Stuffing,Medium,Sales,Asia Pacific,4,8984.0,Escalated,Pratik Chandra
INC-0010,2024-11-19,Ransomware,Medium,Sales,Middle East,8,4832.1,Escalated,Tom Becker
INC-0011,2025-10-20,SQL Injection,Medium,HR,Europe,10,6850.8,In Progress,Tom Becker
INC-0012,2025-08-20,Malware,Medium,HR,Middle East,2,8802.04,Resolved,Arjun Mehta
INC-0013,2025-10-04,Man-in-the-Middle,Low,IT,Latin America,9,1096.51,Resolved,Liam O'Connor
INC-0014,2025-07-20,Phishing,High,IT,Middle East,22,71339.11,Escalated,Neha Verma
INC-0015,2024-10-27,Zero-Day Exploit,Medium,Finance,Asia Pacific,9,8857.66,Closed - No Action,Neha Verma
INC-0016,2025-10-02,Credential Stuffing,Low,Sales,Europe,9,345.39,Resolved,Pratik Chandra
INC-0017,2025-09-05,Phishing,Low,IT,Asia Pacific,5,948.5,Escalated,Sara Fernandez
INC-0018,2024-02-29,Social Engineering,Low,IT,North America,9,934.42,In Progress,Arjun Mehta
INC-0019,2024-05-11,Credential Stuffing,High,HR,Asia Pacific,14,59674.76,Resolved,Sara Fernandez
INC-0020,2025-12-31,Insider Threat,Low,Customer Support,Middle East,2,423.12,Resolved,Priya Nair
INC-0021,2024-01-22,Malware,Medium,Sales,North America,4,7679.93,Resolved,Neha Verma
INC-0022,2024-02-02,Ransomware,High,Sales,Asia Pacific,9,31425.05,In Progress,Wei Zhang
INC-0023,2024-09-05,Man-in-the-Middle,High,Sales,North America,28,47035.69,Resolved,Tom Becker
INC-0024,2025-04-23,Phishing,High,IT,North America,7,40429.79,Resolved,Sara Fernandez
INC-0025,2024-07-15,Zero-Day Exploit,Low,HR,Latin America,2,616.37,Resolved,Wei Zhang
INC-0026,2025-07-17,Credential Stuffing,Low,Finance,North America,3,963.83,Closed - No Action,Tom Becker
INC-0027,2025-05-12,Man-in-the-Middle,Medium,Finance,Europe,5,10867.78,Resolved,Wei Zhang
INC-0028,2024-10-19,Credential Stuffing,Medium,Customer Support,Europe,1,3959.31,Resolved,Pratik Chandra
INC-0029,2024-11-17,Social Engineering,Low,Customer Support,Middle East,1,678.01,Closed - No Action,Neha Verma
INC-0030,2024-07-09,Ransomware,Low,Sales,Latin America,4,1001.26,Resolved,Pratik Chandra
INC-0031,2025-09-26,Social Engineering,Low,Legal,Asia Pacific,4,844.57,Resolved,Liam O'Connor
